Time, Rlegs, Llegs, DCL, DCR, GyroX, GyroY, GyroZ, GyroZAvg, AccelX, AccelY, AccelZ, LBEMF, RBEMF, SteerOut
521,1303,1336,0,0,-245,178,-118,-119,-16,-1,226,104,105,0
3857,1303,1336,0,0,-247,176,-118,-119,-15,0,228,104,105,0
7191,1303,1336,0,0,-242,178,-121,-119,-16,1,232,104,105,0
10524,1303,1336,0,0,-243,177,-119,-119,-17,0,231,104,105,0
13878,1303,1336,0,0,-244,176,-121,-119,-18,0,233,104,105,0
17214,1303,1336,0,0,-244,175,-120,-119,-20,1,227,104,105,0
20527,1303,1336,0,0,-244,178,-120,-119,-17,0,231,104,105,0
23882,1303,1336,0,0,-244,176,-121,-119,-16,1,236,104,105,0
27217,1303,1336,0,0,-246,180,-119,-119,-17,2,230,104,105,0
30531,1303,1336,0,0,-243,178,-119,-119,-18,0,231,104,105,0
33882,1303,1336,0,0,-243,179,-118,-119,-14,2,234,104,105,0
37218,1303,1336,0,0,-243,181,-118,-119,-17,0,228,104,105,0
40535,1303,1336,0,0,-242,180,-121,-119,-18,-1,222,104,105,0
43882,1303,1336,0,0,-245,178,-118,-119,-18,0,231,104,105,0
47224,1303,1336,0,0,-243,179,-121,-119,-19,0,228,104,105,0
50538,1303,1336,0,0,-245,178,-123,-119,-15,-2,226,104,105,0
53882,1303,1336,0,0,-245,176,-121,-119,-17,0,229,104,105,0
57224,1303,1336,0,0,-245,174,-120,-119,-15,0,234,104,105,0
60540,1303,1336,0,0,-247,177,-122,-120,-20,0,229,104,105,0
63883,1303,1336,0,0,-246,172,-123,-120,-15,1,231,104,105,0
67224,1303,1336,0,0,-245,176,-122,-120,-14,1,232,104,105,0
70544,1303,1336,0,0,-245,174,-123,-120,-14,0,228,104,105,0
73883,1303,1336,0,0,-244,175,-122,-120,-16,1,233,104,105,0
77225,1303,1336,0,0,-243,179,-122,-120,-15,2,226,104,105,0
80547,1303,1336,0,0,-244,180,-121,-120,-18,0,229,104,105,0
83883,1303,1336,0,0,-245,179,-119,-120,-17,0,226,104,105,0
87224,1303,1336,0,0,-243,179,-120,-120,-16,-2,227,104,105,0
90550,1303,1336,0,0,-242,180,-122,-120,-19,0,226,104,105,0
93904,1303,1336,0,0,-242,182,-118,-120,-16,0,232,104,105,0
97225,1303,1336,0,0,-245,179,-121,-120,-18,1,227,104,105,0
100553,1303,1336,0,0,-242,179,-120,-120,-19,-1,231,104,104,0
103975,0,0,0,0,-245,179,-118,-120,-16,0,234,104,105,0
107225,0,0,0,0,-245,178,-120,-120,-17,-1,226,104,105,0
110556,0,0,0,0,-243,174,-117,-120,-17,0,226,104,105,0
113908,0,0,0,0,-244,178,-119,-120,-14,0,219,104,105,0
117225,0,0,0,0,-246,175,-119,-120,-17,0,230,104,105,0
120559,0,0,0,0,-246,177,-120,-120,-16,1,228,104,105,0
123908,0,0,0,0,-245,177,-121,-120,-16,-1,228,104,105,0
127250,0,0,0,0,-245,177,-122,-120,-21,4,234,104,105,0
130563,0,0,0,0,-245,176,-121,-120,-16,-4,227,104,105,0
133909,0,0,0,0,-244,174,-120,-120,-20,0,228,104,105,0
137251,0,0,0,0,-244,178,-120,-120,-18,2,231,104,105,0
140566,0,0,0,0,-246,176,-120,-120,-15,-2,232,104,105,0
143909,0,0,0,0,-244,176,-119,-120,-12,0,231,104,105,0
147251,0,0,0,0,-245,180,-118,-120,-18,1,225,104,105,0
150570,0,0,0,0,-245,181,-116,-120,-19,0,225,104,105,0
153909,0,0,0,0,-244,180,-121,-120,-18,0,230,104,105,0
157252,0,0,0,0,-246,177,-119,-120,-18,0,229,104,105,0
160572,0,0,0,0,-242,178,-120,-120,-18,-2,227,104,105,0
163909,0,0,0,0,-245,176,-122,-120,-16,-2,230,104,105,0
167252,0,0,0,0,-244,176,-122,-120,-17,0,230,104,105,0
170576,0,0,0,0,-244,176,-121,-120,-19,0,229,104,105,0
173930,0,0,0,0,-244,174,-120,-120,-12,1,226,104,105,0
177252,0,0,0,0,-247,176,-121,-120,-17,0,224,104,105,0
180579,0,0,0,0,-245,179,-119,-119,-18,-1,224,104,105,0
183935,0,0,0,0,-245,180,-119,-119,-13,-5,229,104,105,0
187252,0,0,0,0,-243,181,-122,-119,-16,1,226,104,105,0
190582,0,0,0,0,-243,182,-121,-119,-16,0,229,104,105,0
193934,0,0,0,0,-246,181,-122,-120,-15,1,226,104,105,0
197253,0,0,0,0,-246,176,-122,-120,-15,0,224,104,105,0
200586,0,0,0,0,-247,175,-121,-120,-19,-2,225,104,105,0
203937,0,0,3331,3312,-245,173,-121,-120,-16,0,227,104,105,0
207255,0,0,1250,1662,-318,8,-113,-119,-114,34,241,247,225,0
210588,1,1,856,931,-733,-16,-125,-120,5,23,218,268,264,0
213938,2,1,762,875,-931,364,11,-116,99,-17,260,289,299,0
217280,2,2,1212,725,-391,387,265,-104,-13,49,224,281,307,0
220591,3,3,762,537,-248,248,187,-94,33,37,191,305,317,0
223938,4,4,1006,575,5,160,341,-80,-58,-41,307,308,331,0
227311,5,5,781,275,758,18,401,-63,-193,-7,295,311,338,0
230595,6,6,1137,387,521,-15,365,-48,-70,-66,345,308,332,0
233938,6,7,1287,537,861,-357,110,-41,-208,0,370,300,324,0
237284,7,8,1100,875,460,-564,60,-35,-155,-165,346,310,306,0
240598,8,9,1268,987,-58,-1183,-173,-37,-248,212,347,317,316,0
243938,9,9,1100,1418,-861,-1815,-756,-57,-175,17,292,326,309,0
247284,10,10,1268,1381,-1995,-2123,-684,-74,-304,168,406,317,311,0
250601,11,11,1400,1925,-2944,-2578,-823,-96,-255,135,225,326,298,0
253939,12,12,1475,1625,-4111,-3340,-1020,-125,-87,60,390,347,339,0
257284,13,13,1362,2093,-4602,-3745,-896,-149,-270,399,140,369,330,0
260604,14,14,1250,1793,-5919,-3692,-874,-173,62,271,202,375,346,0
263962,15,15,1212,1887,-5917,-3429,-753,-192,-161,240,162,393,357,0
267285,16,16,1025,1418,-6386,-2802,-637,-208,-246,112,213,403,382,0
270608,17,17,968,1156,-6722,-2737,-811,-230,94,144,209,406,396,0
273962,19,18,706,1643,-6651,-2375,-337,-237,42,178,124,420,386,0
277313,20,19,743,1437,-5632,-1785,344,-222,143,159,171,419,398,0
280611,21,21,781,950,-4596,-1630,963,-188,-74,111,93,417,408,0
