Time, Rlegs, Llegs, DCL, DCR, GyroX, GyroY, GyroZ, GyroZAvg, AccelX, AccelY, AccelZ, LBEMF, RBEMF, SteerOut
3140,129,131,0,0,189,-144,-143,-144,-21,-5,224,16,18,0
6493,129,131,0,0,189,-142,-144,-144,-24,-4,221,16,17,0
9809,129,131,0,0,191,-145,-144,-144,-26,-2,220,16,17,0
13143,129,131,0,0,192,-141,-146,-144,-25,-3,228,17,17,0
16497,129,131,0,0,191,-141,-146,-143,-27,0,220,16,17,0
19813,129,131,0,0,192,-143,-147,-144,-26,-1,224,16,17,0
23146,129,131,0,0,190,-141,-146,-144,-25,-1,222,16,17,0
26497,129,131,0,0,187,-140,-145,-144,-25,-2,224,17,18,0
29816,129,131,0,0,189,-144,-146,-144,-24,1,222,16,18,0
33149,129,131,0,0,192,-144,-143,-144,-25,-2,225,17,18,0
36498,129,131,0,0,191,-142,-144,-144,-24,0,222,16,17,0
39818,129,131,0,0,189,-147,-144,-144,-22,0,225,16,17,0
43153,129,131,0,0,190,-144,-141,-144,-24,-1,217,16,18,0
46498,129,131,0,0,190,-145,-142,-144,-28,0,224,16,18,0
49821,129,131,0,0,193,-145,-144,-144,-25,-2,222,17,17,0
53156,129,131,0,0,192,-143,-142,-144,-23,3,220,16,17,0
56498,129,131,0,0,189,-145,-142,-143,-27,3,226,16,18,0
59825,129,131,0,0,190,-146,-142,-143,-29,-1,220,16,17,0
63159,129,131,0,0,192,-144,-146,-143,-25,-1,224,16,17,0
66498,129,131,0,0,190,-146,-145,-143,-22,-2,223,16,18,0
69828,129,131,0,0,190,-144,-144,-143,-24,-1,221,16,18,0
73163,129,131,0,0,189,-141,-146,-143,-27,0,226,16,17,0
76499,129,131,0,0,191,-142,-145,-143,-24,0,222,17,17,0
79831,129,131,0,0,191,-143,-144,-143,-27,-2,225,17,17,0
83165,129,131,0,0,191,-141,-146,-143,-25,-2,221,16,17,0
86519,129,131,0,0,189,-144,-146,-143,-25,0,223,16,18,0
89834,129,131,0,0,190,-143,-145,-144,-22,-1,225,16,18,0
93169,129,131,0,0,190,-145,-144,-144,-24,0,222,16,17,0
96523,129,131,0,0,192,-142,-144,-144,-24,-1,218,16,17,0
99838,129,131,0,0,193,-143,-146,-144,-25,0,217,16,17,0
103172,0,0,0,0,192,-143,-142,-144,-24,-1,222,16,17,0
106523,0,0,0,0,192,-145,-141,-144,-25,0,223,16,17,0
109841,0,0,0,0,190,-146,-143,-144,-23,1,224,17,17,0
113176,0,0,0,0,191,-146,-144,-144,-25,-3,221,16,17,0
116524,0,0,0,0,193,-146,-141,-144,-28,0,221,16,18,0
119844,0,0,0,0,189,-146,-144,-144,-25,-1,218,16,17,0
123178,0,0,0,0,190,-144,-145,-144,-23,1,223,16,17,0
126524,0,0,0,0,188,-148,-147,-144,-26,-1,223,17,17,0
129847,0,0,0,0,190,-144,-147,-144,-24,-1,222,16,17,0
133181,0,0,0,0,189,-143,-145,-144,-27,2,221,16,17,0
136524,0,0,0,0,191,-139,-145,-144,-27,0,223,17,17,0
139850,0,0,0,0,189,-141,-147,-144,-24,-3,221,16,17,0
143185,0,0,0,0,190,-141,-147,-144,-26,-1,223,16,17,0
146525,0,0,0,0,189,-140,-147,-144,-26,0,221,16,17,0
149854,0,0,0,0,191,-144,-142,-144,-23,1,219,16,18,0
153188,0,0,0,0,190,-146,-145,-144,-23,-2,219,17,18,0
156525,0,0,0,0,191,-146,-143,-144,-22,-1,225,16,18,0
159857,0,0,0,0,189,-146,-144,-144,-25,-1,224,16,18,0
163192,0,0,0,0,190,-146,-143,-144,-26,-1,221,17,18,0
166545,0,0,0,0,192,-144,-141,-144,-25,-2,215,16,17,0
169860,0,0,0,0,192,-145,-141,-144,-26,-1,225,16,17,0
173195,0,0,0,0,192,-144,-143,-144,-26,2,221,16,17,0
176549,0,0,0,0,190,-143,-144,-144,-25,-1,229,17,18,0
179863,0,0,0,0,193,-142,-144,-144,-29,0,226,16,17,0
183197,0,0,0,0,193,-144,-146,-144,-26,0,225,17,17,0
186550,0,0,0,0,192,-145,-146,-144,-27,0,222,17,17,0
189866,0,0,0,0,190,-139,-146,-144,-27,0,222,16,17,0
193201,0,0,0,0,191,-142,-146,-144,-24,-2,221,16,18,0
196550,0,0,0,0,192,-142,-148,-144,-27,1,229,16,17,0
199869,0,0,0,0,190,-143,-145,-144,-22,-1,220,16,17,0
203204,0,0,0,0,191,-146,-145,-144,-26,0,219,16,17,0
206553,0,0,0,0,188,-149,-146,-144,-18,0,224,34,33,0
209873,0,0,0,0,190,-166,-144,-144,-41,-7,196,38,34,0
213207,0,0,0,12,131,-183,-162,-145,-15,-3,222,34,29,0
216553,0,0,50,50,155,-185,-186,-146,-8,4,226,27,27,0
219876,0,0,87,68,263,-186,-156,-146,-42,2,215,25,26,0
223210,0,0,68,68,163,-208,-163,-147,-43,11,219,26,26,0
226554,0,0,387,368,78,-185,-163,-148,-24,6,219,25,26,0
229879,0,0,200,162,97,-185,-165,-148,-40,0,215,35,37,0
233214,0,0,68,68,76,-282,-140,-148,-5,11,229,42,42,0
236554,0,0,143,125,163,-296,-130,-148,-7,8,219,38,39,0
239882,0,0,162,87,291,-308,-124,-147,-26,13,215,37,41,0
243217,0,0,143,125,274,-324,-98,-145,-20,12,214,38,39,0
246575,1,1,0,0,217,-244,-62,-143,-39,-1,203,39,40,0
249886,1,1,293,256,135,-197,-114,-142,-8,2,211,30,32,0
253243,1,1,181,143,96,-168,-120,-141,-8,5,229,36,38,0
256576,1,1,87,87,166,-161,-140,-141,-25,1,223,41,41,0
259889,1,1,200,125,151,-209,-184,-142,4,4,233,35,39,0
263247,1,1,181,125,309,-203,-200,-144,-39,2,228,36,39,0
266579,1,1,181,143,270,-195,-216,-146,-46,-1,224,36,38,0
269892,1,1,162,106,126,-201,-210,-148,-53,-21,222,37,40,0
273250,1,1,481,425,22,-250,-249,-152,-20,-11,213,36,39,0
276579,1,1,256,181,10,-274,-285,-156,-27,-6,228,48,52,0
279895,1,1,162,143,109,-256,-278,-160,-51,-13,227,53,54,0
283253,2,2,68,0,67,-282,-236,-163,-17,-13,215,42,51,0
286579,2,2,293,87,187,-305,-196,-165,-51,-6,211,30,41,0
289899,2,2,200,162,166,-278,-187,-166,-58,2,224,35,37,0
293257,2,2,200,162,-45,-199,-155,-166,-30,-12,236,35,37,0
296580,2,2,575,425,-59,-202,-149,-166,-15,-12,228,31,39,0
299901,2,2,350,237,63,-231,-151,-167,-25,-4,234,43,49,0
303261,2,2,218,143,104,-249,-175,-167,-24,-11,233,50,54,0
306580,2,2,256,200,63,-253,-189,-169,-20,-29,225,48,51,0
309905,2,3,312,0,91,-314,-206,-171,-17,1,222,45,49,0
313262,3,3,0,125,118,-315,-235,-174,-42,-1,220,48,39,0
316580,3,3,162,143,109,-227,-199,-175,-77,13,205,37,38,0
319908,3,3,612,406,-114,-28,-216,-177,-33,9,200,29,40,0
323266,3,3,200,162,-221,202,-240,-179,30,-35,266,51,53,0
326580,3,3,162,87,37,143,-232,-181,-16,-22,257,53,57,0
329911,3,3,275,106,82,34,-231,-183,0,-28,239,47,56,0
333267,3,3,237,143,161,-175,-155,-183,-12,-28,235,49,54,0
336602,3,4,237,0,181,-324,-93,-181,-32,-19,231,49,54,0
339914,4,4,0,0,98,-376,-33,-177,6,10,213,49,48,0
343271,4,4,500,368,248,-259,-8,-173,1,17,216,35,42,0
346605,4,4,293,181,389,-137,-1,-170,-46,8,235,46,52,0
349917,4,4,125,50,298,-92,-10,-167,-33,13,239,55,59,0
353271,4,4,256,125,179,-15,-10,-165,-29,-1,214,48,55,0
356605,4,4,256,143,152,-30,-26,-162,-42,-1,225,48,54,0
359921,4,5,218,0,70,-100,-42,-160,-56,13,225,50,52,0
363272,4,5,200,31,-160,-166,-41,-157,-23,8,222,51,44,0
366606,5,5,181,406,-139,-164,-4,-151,-8,20,235,52,40,0
369924,5,5,237,125,-16,-184,21,-144,-38,9,226,49,55,0
373271,5,5,237,68,-21,-222,26,-137,-5,25,224,49,58,0
376606,5,5,200,106,19,-211,40,-129,-29,6,214,51,56,0
379927,5,5,237,125,17,-211,83,-119,-37,11,211,49,55,0
383272,5,6,218,0,-72,-206,151,-105,-11,36,211,50,55,0
386606,5,6,218,0,-23,-100,205,-90,-17,13,216,50,50,0
389930,6,6,237,312,-12,-38,254,-75,-24,20,221,49,45,0
393271,6,6,312,143,-107,-52,270,-60,-5,19,228,45,54,0
396606,6,6,200,31,-75,-56,329,-44,-5,42,233,51,60,0
399933,6,6,331,162,-23,15,335,-29,-2,23,231,44,53,0
403272,6,7,312,0,-9,26,315,-14,-16,35,227,45,54,0
406607,6,7,312,0,0,7,358,1,-45,24,241,45,50,0
409937,6,7,331,31,-102,18,377,18,-6,13,240,44,44,0
413293,6,7,631,425,-50,5,445,38,-12,13,226,44,39,0
416628,7,7,125,143,63,-45,452,58,-30,13,233,55,54,0
419940,7,7,293,50,65,-106,471,80,4,18,230,46,59,0
423297,7,7,425,125,174,-173,406,99,12,3,235,39,55,0
426631,7,7,387,162,337,-250,398,119,-36,23,224,41,53,0
429943,7,8,293,0,322,-303,375,138,-32,10,215,46,54,0
433297,7,8,350,0,263,-380,288,154,-25,-3,230,43,48,0
436631,7,8,593,350,532,-377,366,173,8,46,184,46,43,0
439946,8,8,12,200,726,-164,432,191,-115,-2,182,61,51,0
443297,8,8,237,106,271,-18,416,207,-5,-14,238,49,56,0
446632,8,8,331,143,151,-78,321,218,-17,3,227,44,54,0
449950,8,8,256,181,275,-90,358,229,-58,13,228,48,52,0
453298,8,9,462,181,135,-1,291,239,-37,-8,228,50,49,0
456632,8,9,368,162,15,-68,183,245,-20,-16,200,55,50,0
459952,8,9,200,162,50,-184,231,252,-83,-6,207,64,50,0
463298,9,9,0,162,-264,-173,195,259,-42,-5,230,61,50,0
466632,9,9,275,125,-472,-239,53,262,-13,-24,242,44,52,0
469956,9,9,275,143,-370,-347,-12,263,-8,15,241,44,51,0
473298,9,9,200,200,-147,-332,-79,261,-29,-7,225,48,48,0
476633,9,9,237,181,-104,-310,-166,255,-24,2,232,46,49,0
479959,9,10,518,237,-258,-289,-267,246,-38,-13,210,47,46,0
483298,9,10,200,218,-545,-280,-305,235,-19,4,222,64,47,0
486633,10,10,0,181,-637,-257,-337,222,21,7,238,66,49,0
489962,10,10,125,256,-711,-273,-426,204,67,-8,253,52,45,0
493319,10,10,275,237,-370,-363,-439,184,19,-2,250,44,46,0
496655,10,10,181,200,-183,-416,-452,161,38,5,245,49,48,0
499965,10,10,181,237,-64,-448,-441,139,33,9,219,49,46,0
503323,10,11,218,0,10,-414,-360,118,6,7,218,47,47,0
506656,10,11,387,350,99,-336,-200,101,34,20,204,54,40,0
509968,11,11,0,237,175,-214,-76,89,-20,4,215,67,46,0
513323,11,11,200,218,25,-223,-10,77,5,27,215,48,47,0
516657,11,11,293,237,-58,-184,24,66,28,28,229,43,46,0
519972,11,11,181,218,-29,-164,162,57,18,11,238,49,47,0
523324,11,11,181,218,22,-202,203,50,30,30,232,49,47,0
526657,11,11,237,237,82,-198,264,43,-4,24,224,46,46,0
529975,11,11,481,556,65,-176,337,41,-2,26,209,49,45,0
533324,12,12,106,87,-12,-185,357,40,-10,28,207,53,54,0
536657,12,12,237,256,-78,-181,368,39,9,37,212,46,45,0
539978,12,12,237,237,-38,-117,427,44,-25,47,207,46,46,0
543324,12,12,200,218,-6,-110,415,45,-8,26,217,48,47,0
546658,12,12,237,218,32,-139,383,44,-21,38,207,46,47,0
549981,12,12,218,218,64,-99,343,42,-26,31,208,47,47,0
553324,12,12,162,256,-7,-72,294,41,-11,22,220,50,45,0
556657,13,13,125,200,-27,-94,238,37,5,39,212,52,48,0
559984,13,13,68,143,74,-100,228,35,-40,12,218,55,51,0
563325,13,13,237,218,-7,-120,152,34,-45,13,219,46,47,0
566658,13,13,200,181,-135,-167,131,31,-16,4,211,48,49,0
569989,13,13,143,181,-171,-214,68,27,-40,20,203,51,49,0
573346,13,13,162,162,-267,-221,0,25,-9,21,213,50,50,0
576659,13,13,125,143,-188,-193,-41,24,18,5,224,52,51,0
579991,14,13,0,200,10,-148,-63,25,-30,8,227,51,48,0
583349,14,14,143,50,59,-144,-71,28,-27,0,223,51,56,0
586682,14,14,106,125,0,-187,-46,35,-56,-5,210,53,52,0
589994,14,14,125,237,-152,-265,-31,43,-1,1,223,52,46,0
593349,14,14,106,162,-211,-254,6,54,11,10,207,53,50,0
596686,14,14,68,143,-42,-242,35,68,2,-2,211,55,51,0
599998,14,14,125,181,104,-199,56,84,-14,13,211,52,49,0
603350,15,14,0,218,81,-168,61,100,-28,3,200,56,47,0
606690,15,15,106,162,-39,-161,69,116,-25,-8,210,53,50,0
610001,15,15,125,218,-159,-149,73,129,-5,-11,213,52,47,0
613350,15,15,68,143,-183,-154,54,137,4,10,202,55,51,0
616692,15,15,106,143,-119,-145,61,142,9,9,216,53,51,0
620004,15,15,87,106,-47,-129,66,144,0,5,205,54,53,0
623351,15,15,68,106,-24,-137,44,145,10,11,211,55,53,0
626692,16,15,0,106,39,-104,4,140,14,0,204,56,53,0
630007,16,15,0,68,294,53,18,134,6,22,211,51,55,0
633350,16,16,237,181,305,95,11,126,-52,-21,220,46,49,0
636692,16,16,68,162,62,-21,27,116,-30,-17,230,55,50,0
640010,16,16,50,87,-172,-148,96,108,41,1,241,56,54,0
643351,16,16,106,87,5,-155,173,102,22,2,247,53,54,0
646693,16,16,31,106,124,-192,207,95,7,15,233,57,53,0
650013,17,16,0,162,88,-272,185,88,15,4,222,59,50,0
653351,17,17,0,0,44,-243,176,82,2,17,211,54,54,0
656693,17,17,0,0,-19,-164,172,76,7,-8,210,52,48,0
660016,17,17,162,218,-32,-28,174,72,37,11,226,50,47,0
663373,17,17,0,12,192,86,188,71,24,-8,217,59,58,0
666693,17,17,12,50,450,158,235,71,-6,-13,235,58,56,0
670020,18,17,0,87,371,113,288,75,-8,-22,226,57,54,0
673376,18,17,0,106,203,-64,282,80,19,-21,202,57,53,0
676693,18,18,0,0,180,-235,270,86,37,9,211,57,54,0
680024,18,18,0,0,254,-291,214,93,36,17,199,53,55,0
683376,18,18,106,106,440,-233,164,99,12,6,203,53,53,0
686693,18,18,68,87,515,-133,164,107,-39,3,202,55,54,0
690027,18,18,0,50,253,-77,160,114,-47,-5,212,60,56,0
693377,19,18,0,68,-13,-97,157,120,-3,1,233,64,55,0
696719,19,19,0,0,-80,-101,151,126,37,9,234,64,56,0
700029,19,19,0,0,230,-118,125,130,36,-13,235,63,54,0
703377,19,19,0,181,465,-172,110,132,23,-12,222,63,52,0
706719,19,19,0,50,541,-132,105,133,-3,0,207,64,59,0
710032,20,19,0,0,526,-70,156,136,-61,-11,210,69,63,0
713377,20,19,0,31,289,-78,157,139,-34,-5,220,71,60,0
716719,20,19,0,87,82,-128,171,142,15,2,231,70,57,0
720036,20,20,0,0,237,-213,173,146,32,14,244,70,60,0
723378,20,20,0,0,383,-200,98,147,-24,10,226,71,57,0
726720,21,20,0,143,320,-208,48,146,-49,16,211,75,54,0
730039,21,20,0,31,-22,-212,-14,145,-15,9,208,76,60,0
733377,21,20,0,31,-191,-153,-98,141,34,25,191,77,60,0
736720,21,21,0,0,-151,-56,-228,134,-6,1,191,79,57,0
740042,22,21,0,0,-32,30,-340,123,-40,-1,195,84,56,0
743399,22,21,0,0,-74,40,-390,110,-30,-25,203,84,52,0
746720,22,21,0,0,-171,8,-430,93,2,-33,207,85,51,0
750045,22,21,0,237,-192,-64,-412,75,15,-37,225,86,49,0
753402,23,21,0,50,-29,-80,-373,57,34,10,266,92,59,0
756720,23,21,0,125,237,87,-348,40,-43,-6,255,89,55,0
760048,23,22,0,87,17,266,-258,27,-42,-14,234,89,57,0
763402,24,22,0,0,-338,360,-200,15,0,-15,230,93,56,0
766721,24,22,0,0,-417,427,-130,6,33,-18,265,91,50,0
770052,24,22,0,68,-237,447,-49,-1,-1,-26,258,88,42,0
